block,pot,species,aphid_treat,CO2,live_adult,dead_adult,live_nymph,dead_nymph,total_aphids,shoot_dry_wt,root_dry_wt,sucrose,glucose,fructose,total_sugar
1,22,green foxtail,ctrl,Ambient,NA,NA,NA,NA,NA,6.5,1.31,NA,NA,NA,NA
1,23,green foxtail,ctrl,Ambient,NA,NA,NA,NA,NA,7.93,2.08,NA,NA,NA,NA
1,24,green foxtail,ctrl,Ambient,NA,NA,NA,NA,NA,3.01,0.19,NA,NA,NA,NA
1,25,green foxtail,ctrl,Ambient,NA,NA,NA,NA,NA,4.31,0.43,NA,NA,NA,NA
1,26,green foxtail,ctrl,Ambient,NA,NA,NA,NA,NA,4.78,0.31,NA,NA,NA,NA
1,27,green foxtail,ctrl,Ambient,NA,NA,NA,NA,NA,6.77,0.6,NA,NA,NA,NA
1,28,green foxtail,ctrl,Ambient,NA,NA,NA,NA,NA,,0.55,NA,NA,NA,NA
1,29,green foxtail,ctrl,Ambient,NA,NA,NA,NA,NA,3.6,0.23,NA,NA,NA,NA
1,30,green foxtail,ctrl,Ambient,NA,NA,NA,NA,NA,4.54,0.23,NA,NA,NA,NA
1,21,green foxtail,ctrl,Elevated,NA,NA,NA,NA,NA,3.6,0.4,NA,NA,NA,NA
1,22,green foxtail,ctrl,Elevated,NA,NA,NA,NA,NA,5.12,0.58,NA,NA,NA,NA
1,23,green foxtail,ctrl,Elevated,NA,NA,NA,NA,NA,4.63,0.39,NA,NA,NA,NA
1,24,green foxtail,ctrl,Elevated,NA,NA,NA,NA,NA,4.64,0.52,NA,NA,NA,NA
1,25,green foxtail,ctrl,Elevated,NA,NA,NA,NA,NA,8.59,0.42,NA,NA,NA,NA
1,26,green foxtail,ctrl,Elevated,NA,NA,NA,NA,NA,5.98,0.3,NA,NA,NA,NA
1,27,green foxtail,ctrl,Elevated,NA,NA,NA,NA,NA,4.88,0.47,NA,NA,NA,NA
1,28,green foxtail,ctrl,Elevated,NA,NA,NA,NA,NA,3.94,0.26,NA,NA,NA,NA
1,29,green foxtail,ctrl,Elevated,NA,NA,NA,NA,NA,6.72,0.34,NA,NA,NA,NA
1,30,green foxtail,ctrl,Elevated,NA,NA,NA,NA,NA,5.52,0.73,NA,NA,NA,NA
1,41,winter wheat,ctrl,Ambient,NA,NA,NA,NA,NA,2.1,0.42,NA,NA,NA,NA
1,42,winter wheat,ctrl,Ambient,NA,NA,NA,NA,NA,1.76,0.25,NA,NA,NA,NA
1,43,winter wheat,ctrl,Ambient,NA,NA,NA,NA,NA,1.83,0.33,NA,NA,NA,NA
1,44,winter wheat,ctrl,Ambient,NA,NA,NA,NA,NA,1.61,0.26,NA,NA,NA,NA
1,45,winter wheat,ctrl,Ambient,NA,NA,NA,NA,NA,1.95,0.63,NA,NA,NA,NA
1,46,winter wheat,ctrl,Ambient,NA,NA,NA,NA,NA,1.4,0.39,NA,NA,NA,NA
1,47,winter wheat,ctrl,Ambient,NA,NA,NA,NA,NA,1.74,0.3,NA,NA,NA,NA
1,48,winter wheat,ctrl,Ambient,NA,NA,NA,NA,NA,0.98,0.16,NA,NA,NA,NA
1,49,winter wheat,ctrl,Ambient,NA,NA,NA,NA,NA,1.77,0.29,NA,NA,NA,NA
1,50,winter wheat,ctrl,Ambient,NA,NA,NA,NA,NA,0.46,0.01,NA,NA,NA,NA
1,41,winter wheat,ctrl,Elevated,NA,NA,NA,NA,NA,2.96,1.06,NA,NA,NA,NA
1,42,winter wheat,ctrl,Elevated,NA,NA,NA,NA,NA,2.97,0.6,NA,NA,NA,NA
1,43,winter wheat,ctrl,Elevated,NA,NA,NA,NA,NA,2.99,0.66,NA,NA,NA,NA
1,44,winter wheat,ctrl,Elevated,NA,NA,NA,NA,NA,1.98,0.5,NA,NA,NA,NA
1,45,winter wheat,ctrl,Elevated,NA,NA,NA,NA,NA,4.1,0.61,NA,NA,NA,NA
1,46,winter wheat,ctrl,Elevated,NA,NA,NA,NA,NA,3.24,0.81,NA,NA,NA,NA
1,47,winter wheat,ctrl,Elevated,NA,NA,NA,NA,NA,2.19,0.57,NA,NA,NA,NA
1,48,winter wheat,ctrl,Elevated,NA,NA,NA,NA,NA,1.5,0.24,NA,NA,NA,NA
1,49,winter wheat,ctrl,Elevated,NA,NA,NA,NA,NA,2.09,0.34,NA,NA,NA,NA
1,50,winter wheat,ctrl,Elevated,NA,NA,NA,NA,NA,0.35,0.02,NA,NA,NA,NA
1,11,foxtail barley,infested,Ambient,0,3,1,0,4,1.01,0.17,NA,NA,NA,NA
1,12,foxtail barley,infested,Ambient,2,1,34,0,37,1.52,0.45,NA,NA,NA,NA
1,13,foxtail barley,infested,Ambient,0,3,0,2,5,1.62,0.59,NA,NA,NA,NA
1,14,foxtail barley,infested,Ambient,1,2,13,1,17,1.74,0.49,NA,NA,NA,NA
1,15,foxtail barley,infested,Ambient,0,3,12,1,16,1.06,0.29,NA,NA,NA,NA
1,16,foxtail barley,infested,Ambient,0,3,11,0,14,1.84,0.59,NA,NA,NA,NA
